ID,Tipo,SKU,Nombre,"Descripción corta","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2"
45133,variable,TDJ10561536,"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45134,variable,TDJ10561708,"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45135,variable,TDJ10561710,"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45136,variable,TDJ10561918,"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45137,variable,TDJ10569204,"JEAN DIVE T-ALTO CALCE REG.",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45138,variable,TDJ11681505,"JEAN BRODY T-ALTO REG ELAST",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45139,variable,TDJ11687711,"JEAN KIKA BOTA SLOUCHYT-MEDIO REG RIG",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45140,variable,TDJ11513601,"JEAN RANIA T-MEDIO SLIM ELAST",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45141,variable,TDJ11587236,"JEAN MEDIATION T-MEDIO SLIM ELAST",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45142,variable,TDJ10419708,"JEAN CLICHY T-ALTO SKINNY ABERTURA BOTA",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45143,variable,TDJ11377711,"JEAN SUPREMO T-ALTO CALCE SKINNY",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45144,variable,TDJ11377712,"JEAN SUPREMO T-ALTO CALCE SKINNY ELAST",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45145,variable,TDJ11445235,"JEAN BIBIER T-ALTO SKINNY ELAST",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45146,variable,TDJ10431525,"JEAN DAMA T-MEDIO SKINNY PUSH UP ELAST",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45147,variable,TDJ10431523,"JEAN REAL T-MEDIO CALCE SKINNY PUSH UP",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45148,variable,TDJ11679601,"JEAN STILL T-ALTO LOOSE BOT WIDE REG",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45149,variable,TDJ11679605,"JEAN STILL T-ALTO LOOSE BOT WIDE REG",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45150,variable,TDJ11869724,"JEAN TANDIS T-ALTO LOOSE BOTA BARREL RIGIDO",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
45151,variable,TDJ11383205,"JEAN ROMEO T-ALTO LOOSE BOTA WIDE EUFORICA",,Talle,"24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46",1,1,Marca,Taverniti,1,1
