"Código";"Descripción";"Proveedor";"Familia";"Curva de talles";"Categoría";"Clasificación";"Tipo"
"TABL29672602";"BOLSO URBAN NEGRO PORTA CELULAR";"01";"05";"06";"37";"99";"99"
"TABL29700602";"BOLSO URBAN NEGRO PORTA CELULAR";"01";"05";"06";"37";"99";"99"
"TABL29708602";"BANDOLERA NEGRA UNISEX";"01";"05";"06";"37";"99";"99"
"TABL29708681";"BANDOLERA UNISEX";"01";"05";"06";"37";"99";"99"
"TABL29710602";"BOLSO NGO PORTACELULAR";"01";"05";"06";"37";"99";"99"
"TABL29722602";"BOLSO UNISEX";"01";"05";"06";"37";"99";"99"
"TABL29722606";"BOLSO UNISEX";"01";"05";"06";"37";"99";"99"
"TABL29722683";"BOLSO UNISEX";"01";"05";"06";"37";"99";"99"
"TABL29722927";"BOLSO UNISEX";"01";"05";"06";"37";"99";"99"
"TACU29962335";"CUELLO POLAR CON BORDADO CENTRO";"01";"05";"06";"40";"99";"01"
"TADABT000";"BILLETERA CUERO MOD.VARIOS";"99";"06";"06";"41";"99";"99"
"TAGR29704335";"GORRA LUXOR TRUCKER GABARDINA ESMERILADA";"01";"06";"06";"39";"99";"99"
"TAGR29726335";"GORRO LANA UNISEX";"01";"06";"06";"39";"99";"99"
"TAGR29954335";"PILUSO LEON GABARDINA DIRTY WASH";"01";"06";"06";"39";"99";"99"
"TAGR29956335";"GORRO UNISEX";"01";"06";"06";"39";"99";"99"
"TAGR29966335";"GORRA LIAM TRUCKER LAVADA PARCHE VINTAGE";"01";"01";"06";"39";"99";"99"
"TAGR29968335";"GORRA LANDER ALG VISERA CURVA LOGO BORDADO";"01";"01";"06";"39";"99";"99"
"TAGR29970335";"GORRA MAX COMBINADA PARCHE BORDADO";"01";"01";"06";"39";"99";"99"
"TAGR29974335";"GORRA SAM DEPORTIVA LOGO TRANSFER 3D";"01";"01";"06";"39";"99";"99"
"TAGR29978335";"GORRA BEN GAJOS DIFER Y FLOCK EN FRENTE";"01";"05";"06";"39";"99";"99"
"TAGR29980335";"GORRA BRANDON LOGO BORDADO VISERA CURVA";"01";"01";"06";"39";"99";"99"
"TAGR29982335";"GORRA ALEX PARCHE ALG VISERA CURVA";"01";"01";"06";"39";"99";"99"
"TAGR29984335";"GORRA TRAVIS TRUCKER VISERA CURVA PARCHE BORDADO";"01";"01";"06";"39";"99";"99"
"TAGR29986335";"GORRA FLOYD GABARDINA VISERA CURVA ETIQ TEJIDA";"01";"01";"06";"39";"99";"99"
"TAGR29988335";"GORRA VARIOS COLORES ALG CON VISERA CURVA";"01";"05";"06";"39";"99";"99"
"TAGR29988424";"GORRA TOSTADO ALG CON VISERA CURVA";"01";"05";"06";"39";"99";"99"
"TAGR29988602";"GORRA NEGRA ALG CON VISERA CURVA";"01";"05";"06";"39";"99";"99"
"TAGR29988603";"GORRA AZ MARINO ALG CON VISERA CURVA";"01";"05";"06";"39";"99";"99"
"TAGR29988614";"GORRA BORRAVINO ALG CON VISERA CURVA";"01";"05";"06";"39";"99";"99"
"TAGR29988619";"GORRA ALG CON VISERA CURVA";"01";"05";"06";"39";"99";"99"
"TAGR29988640";"GORRA AERO ALG CON VISERA CURVA";"01";"05";"06";"39";"99";"99"
"TAGR29994335";"GORRA BRAT ALG VISERA CURVA REMACHE Y ETIQ";"01";"06";"06";"39";"99";"99"
"TAHA017N";"CINTURON NGO TACHAS";"99";"05";"07";"34";"99";"99"
"TAMO29712602";"MOCHILA NGO UNISEX";"01";"05";"06";"37";"99";"99"
"TANEACTN";"CINTO NGO";"99";"06";"03";"34";"99";"99"
