"Tipo","SKU","Nombre","Publicado","¿Está destacado?","Visibilidad en el catálogo","Estado del impuesto","¿Existencias?","¿Vendido individualmente?","Categorías","Etiquetas","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Atributo por defecto 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2"
"variable","TDJ11383920","JEAN ROMEO T-ALTO LOOSE BOTA WIDE EUFORICA","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11479601","JEAN NAINA T-ALTO LOOSE BOT ANCHA REG","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11823206","JEAN STONY T-ALTO LOOSE BOT WIDE","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11823235","JEAN STONY T-ALTO LOOSE BOT WIDE","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11823524","JEAN STONY T-ALTO LOOSE BOT WIDE","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10461708","JEAN GLUP T-MEDIO CALCE OXFORD","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Tiro medio, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10461601","JEAN GLUP BLANCO T-MEDIO CALCE OXFORD","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Oxford, Tiro medio, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11637708","JEAN ABBEY T-ALTO OXFORD ELAST","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Oxford, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11677604","JEAN FLAVOR T-ALTO LOOSE BOT WIDE REG BOLS LATERALES","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDP08977579","PANT FORLI ARENA RECTO HOLGADO FLAME","1","0","visible","taxable","1","0","MUJER, MUJER > PANTALONES","Pantalon, Pantalones, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Marca","Taverniti","1","1"
